Prompt: scope of datascience with number of cores [0, 1:  
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O       PIDS
276dd6c7e33e   llama_training_container   5.25%     388.8MiB / 7.641GiB   4.97%     6.2MB / 114kB   251MB / 618kB   9

276dd6c7e33e   llama_training_container   3.70%     489.6MiB / 7.641GiB   6.26%     248MB / 4.96MB   256MB / 136MB   10

276dd6c7e33e   llama_training_container   3.33%     496.5MiB / 7.641GiB   6.35%     489MB / 9.8MB   256MB / 387MB   10

276dd6c7e33e   llama_training_container   3.15%     502.8MiB / 7.641GiB   6.43%     730MB / 14.7MB   256MB / 639MB   10

276dd6c7e33e   llama_training_container   2.37%     510.7MiB / 7.641GiB   6.53%     1GB / 19.9MB   256MB / 901MB   10

276dd6c7e33e   llama_training_container   3.22%     516.6MiB / 7.641GiB   6.60%     1.23GB / 24.6MB   256MB / 1.14GB   10

276dd6c7e33e   llama_training_container   2.89%     523.3MiB / 7.641GiB   6.69%     1.47GB / 29.4MB   256MB / 1.38GB   10

276dd6c7e33e   llama_training_container   2.14%     529.1MiB / 7.641GiB   6.76%     1.7GB / 34.2MB   256MB / 1.62GB   10

276dd6c7e33e   llama_training_container   4.06%     536.4MiB / 7.641GiB   6.86%     1.96GB / 39.2MB   256MB / 1.89GB   10

276dd6c7e33e   llama_training_container   5.08%     543.1MiB / 7.641GiB   6.94%     2.2GB / 44.2MB   256MB / 2.01GB   10

276dd6c7e33e   llama_training_container   2.36%     549.5MiB / 7.641GiB   7.02%     2.43GB / 49MB   256MB / 2.24GB   10

276dd6c7e33e   llama_training_container   8.69%     562.3MiB / 7.641GiB   7.19%     2.68GB / 53.8MB   256MB / 2.49GB   10

276dd6c7e33e   llama_training_container   2.98%     564.3MiB / 7.641GiB   7.21%     2.9GB / 58.6MB   256MB / 2.74GB   10

276dd6c7e33e   llama_training_container   6.85%     565.8MiB / 7.641GiB   7.23%     3.12GB / 63.2MB   256MB / 2.97GB   10

276dd6c7e33e   llama_training_container   0.79%     566.6MiB / 7.641GiB   7.24%     3.34GB / 68MB   256MB / 3.2GB   10

276dd6c7e33e   llama_training_container   1.23%     566.5MiB / 7.641GiB   7.24%     3.52GB / 72.3MB   256MB / 3.39GB   10

276dd6c7e33e   llama_training_container   1.77%     567.1MiB / 7.641GiB   7.25%     3.72GB / 76.6MB   256MB / 3.59GB   10

276dd6c7e33e   llama_training_container   1.69%     568.1MiB / 7.641GiB   7.26%     3.93GB / 81.3MB   256MB / 3.69GB   10

276dd6c7e33e   llama_training_container   1.86%     568.1MiB / 7.641GiB   7.26%     4.16GB / 86.1MB   256MB / 3.91GB   10

276dd6c7e33e   llama_training_container   2.30%     569MiB / 7.641GiB   7.27%     4.37GB / 90.8MB   256MB / 4.13GB   10

276dd6c7e33e   llama_training_container   3.80%     568.8MiB / 7.641GiB   7.27%     4.61GB / 96MB   256MB / 4.37GB   10

276dd6c7e33e   llama_training_container   0.86%     570MiB / 7.641GiB   7.29%     4.84GB / 101MB   256MB / 4.62GB   10

276dd6c7e33e   llama_training_container   1.77%     570.3MiB / 7.641GiB   7.29%     5.04GB / 105MB   256MB / 4.82GB   10

276dd6c7e33e   llama_training_container   4.47%     572.1MiB / 7.641GiB   7.31%     5.23GB / 110MB   256MB / 4.99GB   10

276dd6c7e33e   llama_training_container   4.85%     571.7MiB / 7.641GiB   7.31%     5.44GB / 114MB   256MB / 5.19GB   10

276dd6c7e33e   llama_training_container   5.41%     574.1MiB / 7.641GiB   7.34%     5.65GB / 119MB   256MB / 5.41GB   10

276dd6c7e33e   llama_training_container   5.21%     573.9MiB / 7.641GiB   7.34%     5.84GB / 124MB   256MB / 5.59GB   10

