Prompt: scope of datascience with number of cores [0, 1, 2, 3]:  
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
17881745d40d   llama_training_container   3.27%     322.2MiB / 7.641GiB   4.12%     3.14MB / 68.4kB   183MB / 618kB   9

17881745d40d   llama_training_container   7.84%     424MiB / 7.641GiB   5.42%     230MB / 4.9MB   187MB / 148MB   10

17881745d40d   llama_training_container   6.67%     430.2MiB / 7.641GiB   5.50%     449MB / 9.77MB   187MB / 387MB   10

17881745d40d   llama_training_container   9.10%     437.2MiB / 7.641GiB   5.59%     703MB / 15MB   187MB / 628MB   10

17881745d40d   llama_training_container   3.17%     443.9MiB / 7.641GiB   5.67%     958MB / 20.3MB   187MB / 891MB   10

17881745d40d   llama_training_container   1.58%     449.7MiB / 7.641GiB   5.75%     1.16GB / 25MB   187MB / 1.1GB   10

17881745d40d   llama_training_container   2.57%     455.5MiB / 7.641GiB   5.82%     1.37GB / 29.7MB   187MB / 1.31GB   10

17881745d40d   llama_training_container   4.05%     462MiB / 7.641GiB   5.91%     1.61GB / 34.8MB   187MB / 1.44GB   10

17881745d40d   llama_training_container   2.75%     468.8MiB / 7.641GiB   5.99%     1.87GB / 40.1MB   187MB / 1.69GB   10

17881745d40d   llama_training_container   2.06%     475.1MiB / 7.641GiB   6.07%     2.1GB / 45.1MB   187MB / 1.94GB   10

17881745d40d   llama_training_container   3.41%     481.3MiB / 7.641GiB   6.15%     2.34GB / 50.2MB   187MB / 2.19GB   10

17881745d40d   llama_training_container   2.83%     488.5MiB / 7.641GiB   6.24%     2.58GB / 55.2MB   187MB / 2.42GB   10

17881745d40d   llama_training_container   2.51%     494.2MiB / 7.641GiB   6.32%     2.81GB / 60.2MB   187MB / 2.65GB   10

17881745d40d   llama_training_container   1.93%     501.3MiB / 7.641GiB   6.41%     3.05GB / 65.2MB   187MB / 2.9GB   10

17881745d40d   llama_training_container   4.99%     506.8MiB / 7.641GiB   6.48%     3.27GB / 70MB   187MB / 3.13GB   10

17881745d40d   llama_training_container   1.50%     514.7MiB / 7.641GiB   6.58%     3.52GB / 75.2MB   187MB / 3.39GB   10

17881745d40d   llama_training_container   1.59%     520.7MiB / 7.641GiB   6.66%     3.75GB / 79.8MB   187MB / 3.51GB   10

17881745d40d   llama_training_container   3.12%     526.8MiB / 7.641GiB   6.73%     3.99GB / 84.5MB   187MB / 3.75GB   10

17881745d40d   llama_training_container   4.58%     532.5MiB / 7.641GiB   6.81%     4.21GB / 89MB   187MB / 3.97GB   10

17881745d40d   llama_training_container   1.06%     539.7MiB / 7.641GiB   6.90%     4.45GB / 94.1MB   187MB / 4.21GB   10

17881745d40d   llama_training_container   1.96%     546MiB / 7.641GiB   6.98%     4.69GB / 99.1MB   187MB / 4.46GB   10

17881745d40d   llama_training_container   3.50%     552.7MiB / 7.641GiB   7.06%     4.91GB / 104MB   187MB / 4.69GB   10

17881745d40d   llama_training_container   2.53%     560.5MiB / 7.641GiB   7.16%     5.14GB / 109MB   187MB / 4.92GB   10

17881745d40d   llama_training_container   2.46%     562.3MiB / 7.641GiB   7.19%     5.37GB / 114MB   187MB / 5.11GB   10

17881745d40d   llama_training_container   1.47%     561.8MiB / 7.641GiB   7.18%     5.57GB / 119MB   187MB / 5.31GB   10

17881745d40d   llama_training_container   1.81%     562.5MiB / 7.641GiB   7.19%     5.79GB / 123MB   187MB / 5.53GB   10

17881745d40d   llama_training_container   2.40%     564.3MiB / 7.641GiB   7.21%     6.04GB / 128MB   187MB / 5.78GB   10

17881745d40d   llama_training_container   2.46%     565.4MiB / 7.641GiB   7.23%     6.29GB / 133MB   187MB / 6.05GB   10

17881745d40d   llama_training_container   1.14%     564.1MiB / 7.641GiB   7.21%     6.53GB / 138MB   187MB / 6.3GB   10

