Prompt: scope of datascience with number of cores = no core specified:  
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
f5fd95495426   llama_training_container   14.96%    414.7MiB / 7.641GiB   5.30%     9.42MB / 164kB   187MB / 549kB   9

f5fd95495426   llama_training_container   6.44%     422.9MiB / 7.641GiB   5.40%     274MB / 5.14MB   187MB / 146MB   10

f5fd95495426   llama_training_container   2.95%     429.6MiB / 7.641GiB   5.49%     530MB / 10.1MB   187MB / 408MB   10

f5fd95495426   llama_training_container   2.65%     437.9MiB / 7.641GiB   5.60%     806MB / 15.2MB   187MB / 681MB   10

f5fd95495426   llama_training_container   2.89%     444.9MiB / 7.641GiB   5.69%     1.08GB / 20.5MB   187MB / 953MB   10

f5fd95495426   llama_training_container   4.12%     452.7MiB / 7.641GiB   5.79%     1.37GB / 25.6MB   187MB / 1.25GB   10

f5fd95495426   llama_training_container   3.33%     460.3MiB / 7.641GiB   5.88%     1.64GB / 30.5MB   187MB / 1.53GB   10

f5fd95495426   llama_training_container   3.35%     467.3MiB / 7.641GiB   5.97%     1.9GB / 35.3MB   187MB / 1.8GB   10

f5fd95495426   llama_training_container   9.61%     474.9MiB / 7.641GiB   6.07%     2.18GB / 40.4MB   187MB / 2.09GB   10

f5fd95495426   llama_training_container   5.00%     482.5MiB / 7.641GiB   6.17%     2.46GB / 45.6MB   187MB / 2.38GB   10

f5fd95495426   llama_training_container   2.83%     490.7MiB / 7.641GiB   6.27%     2.74GB / 50.7MB   187MB / 2.53GB   10

f5fd95495426   llama_training_container   1.56%     498.3MiB / 7.641GiB   6.37%     3.02GB / 56.1MB   187MB / 2.81GB   10

f5fd95495426   llama_training_container   3.44%     505.9MiB / 7.641GiB   6.47%     3.31GB / 61.5MB   187MB / 3.09GB   10

f5fd95495426   llama_training_container   6.64%     513.7MiB / 7.641GiB   6.57%     3.6GB / 67MB   187MB / 3.39GB   10

f5fd95495426   llama_training_container   2.21%     521.7MiB / 7.641GiB   6.67%     3.89GB / 72.7MB   187MB / 3.68GB   10

f5fd95495426   llama_training_container   3.34%     529.9MiB / 7.641GiB   6.77%     4.17GB / 78.2MB   187MB / 3.97GB   10

f5fd95495426   llama_training_container   5.45%     536.9MiB / 7.641GiB   6.86%     4.44GB / 83.6MB   187MB / 4.26GB   10

f5fd95495426   llama_training_container   4.22%     544.8MiB / 7.641GiB   6.96%     4.73GB / 89.2MB   187MB / 4.55GB   10

f5fd95495426   llama_training_container   4.62%     556.6MiB / 7.641GiB   7.11%     5.02GB / 94.8MB   187MB / 4.83GB   10

