Prompt: scope of datascience
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O        PIDS
aebe8e1c7e91   llama_training_container   5.65%     305.2MiB / 4GiB     7.45%     322MB / 6.35MB   40.5MB / 167MB   10

aebe8e1c7e91   llama_training_container   3.14%     310.4MiB / 4GiB     7.58%     601MB / 11.8MB   40.5MB / 461MB   10

aebe8e1c7e91   llama_training_container   4.79%     319.4MiB / 4GiB     7.80%     865MB / 17.3MB   40.5MB / 744MB   10

aebe8e1c7e91   llama_training_container   8.31%     311.2MiB / 4GiB     7.60%     1.15GB / 23.1MB   40.5MB / 1.02GB   10

aebe8e1c7e91   llama_training_container   9.69%     385.1MiB / 4GiB     9.40%     1.44GB / 28.6MB   40.5MB / 1.31GB   10

aebe8e1c7e91   llama_training_container   3.88%     310.7MiB / 4GiB     7.58%     1.73GB / 34.4MB   40.5MB / 1.6GB   10

aebe8e1c7e91   llama_training_container   2.60%     311.2MiB / 4GiB     7.60%     2.02GB / 40.1MB   40.5MB / 1.9GB   10

aebe8e1c7e91   llama_training_container   2.58%     306.6MiB / 4GiB     7.49%     2.31GB / 45.6MB   40.5MB / 2.19GB   10

aebe8e1c7e91   llama_training_container   7.61%     313.9MiB / 4GiB     7.66%     2.6GB / 51.3MB   40.5MB / 2.48GB   10

aebe8e1c7e91   llama_training_container   5.05%     320.4MiB / 4GiB     7.82%     2.89GB / 56.8MB   40.5MB / 2.78GB   10

aebe8e1c7e91   llama_training_container   6.54%     326.9MiB / 4GiB     7.98%     3.18GB / 62.3MB   40.5MB / 3.07GB   10

aebe8e1c7e91   llama_training_container   4.42%     331.5MiB / 4GiB     8.09%     3.46GB / 67.7MB   40.5MB / 3.21GB   10

aebe8e1c7e91   llama_training_container   6.16%     335MiB / 4GiB       8.18%     3.74GB / 73.3MB   40.5MB / 3.5GB   10

aebe8e1c7e91   llama_training_container   3.62%     339.6MiB / 4GiB     8.29%     4GB / 78.6MB   40.5MB / 3.77GB   10

aebe8e1c7e91   llama_training_container   1.52%     342.9MiB / 4GiB     8.37%     4.25GB / 83.8MB   40.5MB / 4.04GB   10

aebe8e1c7e91   llama_training_container   6.80%     346.3MiB / 4GiB     8.45%     4.5GB / 89.1MB   40.5MB / 4.29GB   10

aebe8e1c7e91   llama_training_container   5.14%     348.7MiB / 4GiB     8.51%     4.76GB / 94.5MB   40.5MB / 4.55GB   10

aebe8e1c7e91   llama_training_container   7.73%     352.7MiB / 4GiB     8.61%     5.03GB / 99.8MB   40.5MB / 4.82GB   10

aebe8e1c7e91   llama_training_container   6.59%     355MiB / 4GiB       8.67%     5.3GB / 105MB   40.5MB / 4.99GB   10

aebe8e1c7e91   llama_training_container   3.31%     360.8MiB / 4GiB     8.81%     5.56GB / 110MB   40.5MB / 5.26GB   10
