Prompt: scope of datascience
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
51c8956a259a   llama_training_container   3.96%     401.9MiB / 7.485GiB   5.24%     323MB / 5.8MB   171MB / 303MB   10

51c8956a259a   llama_training_container   4.35%     407.1MiB / 7.485GiB   5.31%     514MB / 9.23MB   171MB / 410MB   10

51c8956a259a   llama_training_container   4.56%     412.3MiB / 7.485GiB   5.38%     704MB / 12.8MB   171MB / 586MB   10

51c8956a259a   llama_training_container   1.76%     417.8MiB / 7.485GiB   5.45%     896MB / 16.6MB   171MB / 775MB   10

51c8956a259a   llama_training_container   2.02%     423MiB / 7.485GiB   5.52%     1.09GB / 20.3MB   171MB / 964MB   10

51c8956a259a   llama_training_container   1.68%     428.1MiB / 7.485GiB   5.59%     1.28GB / 23.7MB   171MB / 1.15GB   10

51c8956a259a   llama_training_container   2.66%     433.4MiB / 7.485GiB   5.65%     1.47GB / 27.2MB   171MB / 1.34GB   10

51c8956a259a   llama_training_container   3.58%     438.9MiB / 7.485GiB   5.73%     1.66GB / 30.7MB   171MB / 1.53GB   10

51c8956a259a   llama_training_container   5.47%     443.6MiB / 7.485GiB   5.79%     1.85GB / 34.2MB   171MB / 1.72GB   10

51c8956a259a   llama_training_container   1.98%     449MiB / 7.485GiB   5.86%     2.04GB / 37.7MB   171MB / 1.91GB   10

51c8956a259a   llama_training_container   3.31%     454.4MiB / 7.485GiB   5.93%     2.23GB / 41.2MB   171MB / 2.1GB   10

51c8956a259a   llama_training_container   5.01%     459.3MiB / 7.485GiB   5.99%     2.42GB / 44.6MB   171MB / 2.29GB   10

51c8956a259a   llama_training_container   3.25%     464.4MiB / 7.485GiB   6.06%     2.61GB / 48.2MB   171MB / 2.47GB   10

51c8956a259a   llama_training_container   4.06%     469.5MiB / 7.485GiB   6.13%     2.8GB / 51.7MB   171MB / 2.66GB   10

51c8956a259a   llama_training_container   2.79%     474.8MiB / 7.485GiB   6.19%     3GB / 55.3MB   171MB / 2.85GB   10

51c8956a259a   llama_training_container   3.36%     480.5MiB / 7.485GiB   6.27%     3.18GB / 58.6MB   171MB / 3.04GB   10

51c8956a259a   llama_training_container   2.02%     485.4MiB / 7.485GiB   6.33%     3.38GB / 62.1MB   171MB / 3.23GB   10

51c8956a259a   llama_training_container   6.81%     490.8MiB / 7.485GiB   6.40%     3.57GB / 65.4MB   171MB / 3.42GB   10

