Prompt: scope of datascience
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
7ad4d6fa8cf0   llama_training_container   0.56%     275.8MiB / 7.485GiB   3.60%     80.6MB / 1.18MB   34.8MB / 62.4MB   10

7ad4d6fa8cf0   llama_training_container   2.28%     277.2MiB / 7.485GiB   3.62%     124MB / 1.83MB   34.8MB / 105MB   10

7ad4d6fa8cf0   llama_training_container   1.49%     278.6MiB / 7.485GiB   3.63%     181MB / 2.68MB   34.8MB / 147MB   10

7ad4d6fa8cf0   llama_training_container   5.65%     280.7MiB / 7.485GiB   3.66%     248MB / 3.91MB   34.8MB / 221MB   10

7ad4d6fa8cf0   llama_training_container   3.32%     283MiB / 7.485GiB   3.69%     326MB / 5.22MB   34.8MB / 305MB   10

7ad4d6fa8cf0   llama_training_container   1.47%     283.9MiB / 7.485GiB   3.70%     369MB / 5.92MB   34.8MB / 337MB   10

7ad4d6fa8cf0   llama_training_container   3.93%     285.1MiB / 7.485GiB   3.72%     418MB / 6.64MB   34.8MB / 389MB   10

7ad4d6fa8cf0   llama_training_container   4.35%     287.2MiB / 7.485GiB   3.75%     489MB / 7.66MB   34.8MB / 463MB   10

7ad4d6fa8cf0   llama_training_container   2.23%     289.3MiB / 7.485GiB   3.77%     565MB / 8.69MB   34.8MB / 484MB   10

7ad4d6fa8cf0   llama_training_container   6.01%     293.7MiB / 7.485GiB   3.83%     718MB / 10.6MB   34.8MB / 620MB   10

7ad4d6fa8cf0   llama_training_container   5.07%     297.7MiB / 7.485GiB   3.88%     872MB / 12.5MB   34.8MB / 788MB   10

7ad4d6fa8cf0   llama_training_container   2.92%     300.5MiB / 7.485GiB   3.92%     979MB / 13.9MB   34.8MB / 903MB   10

7ad4d6fa8cf0   llama_training_container   5.60%     303.8MiB / 7.485GiB   3.96%     1.09GB / 15.4MB   34.8MB / 1.02GB   10

7ad4d6fa8cf0   llama_training_container   0.44%     305.9MiB / 7.485GiB   3.99%     1.17GB / 16.6MB   34.8MB / 1.1GB   10

7ad4d6fa8cf0   llama_training_container   4.12%     309.3MiB / 7.485GiB   4.04%     1.29GB / 18MB   34.8MB / 1.23GB   10

7ad4d6fa8cf0   llama_training_container   2.55%     311.9MiB / 7.485GiB   4.07%     1.39GB / 19.5MB   34.8MB / 1.33GB   10

