Prompt: scope of datascience  (no core specified) 
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
9a494fd3c1e0   llama_training_container   1.09%     318MiB / 7.641GiB   4.06%     11.5kB / 2.83kB   184MB / 0B   8

9a494fd3c1e0   llama_training_container   8.16%     425.2MiB / 7.641GiB   5.43%     262MB / 4.7MB   188MB / 136MB   10

9a494fd3c1e0   llama_training_container   2.92%     433.2MiB / 7.641GiB   5.54%     553MB / 10MB   188MB / 429MB   10

9a494fd3c1e0   llama_training_container   6.33%     441.8MiB / 7.641GiB   5.65%     844MB / 15.3MB   188MB / 723MB   10

9a494fd3c1e0   llama_training_container   3.48%     450.3MiB / 7.641GiB   5.76%     1.13GB / 20.5MB   188MB / 1.02GB   10

9a494fd3c1e0   llama_training_container   3.24%     457.4MiB / 7.641GiB   5.85%     1.42GB / 25.7MB   188MB / 1.31GB   10

9a494fd3c1e0   llama_training_container   3.43%     465.4MiB / 7.641GiB   5.95%     1.71GB / 31.1MB   188MB / 1.6GB   10

9a494fd3c1e0   llama_training_container   2.55%     472.6MiB / 7.641GiB   6.04%     1.99GB / 36.3MB   188MB / 1.9GB   10

9a494fd3c1e0   llama_training_container   3.82%     480MiB / 7.641GiB   6.13%     2.25GB / 41.2MB   188MB / 2.16GB   10

9a494fd3c1e0   llama_training_container   2.21%     487.9MiB / 7.641GiB   6.24%     2.53GB / 46.3MB   188MB / 2.45GB   10

9a494fd3c1e0   llama_training_container   7.93%     495.4MiB / 7.641GiB   6.33%     2.81GB / 51.4MB   188MB / 2.6GB   10

9a494fd3c1e0   llama_training_container   4.01%     502.6MiB / 7.641GiB   6.42%     3.09GB / 56.6MB   188MB / 2.88GB   10

9a494fd3c1e0   llama_training_container   3.86%     510.8MiB / 7.641GiB   6.53%     3.37GB / 61.6MB   188MB / 3.17GB   10

9a494fd3c1e0   llama_training_container   3.24%     518.9MiB / 7.641GiB   6.63%     3.65GB / 66.8MB   188MB / 3.46GB   10

9a494fd3c1e0   llama_training_container   1.49%     524.4MiB / 7.641GiB   6.70%     3.87GB / 71.3MB   188MB / 3.72GB   10

9a494fd3c1e0   llama_training_container   6.29%     529.7MiB / 7.641GiB   6.77%     4.08GB / 75.5MB   188MB / 3.9GB   10

9a494fd3c1e0   llama_training_container   2.01%     537.7MiB / 7.641GiB   6.87%     4.36GB / 80.5MB   188MB / 4.18GB   10

9a494fd3c1e0   llama_training_container   2.70%     545.5MiB / 7.641GiB   6.97%     4.63GB / 85.5MB   188MB / 4.46GB   10

9a494fd3c1e0   llama_training_container   1.76%     552.8MiB / 7.641GiB   7.07%     4.91GB / 90.7MB   188MB / 4.74GB   10

9a494fd3c1e0   llama_training_container   4.71%     560.3MiB / 7.641GiB   7.16%     5.17GB / 95.8MB   188MB / 4.99GB   10

9a494fd3c1e0   llama_training_container   1.63%     569.5MiB / 7.641GiB   7.28%     5.4GB / 101MB   188MB / 5.24GB   10

9a494fd3c1e0   llama_training_container   2.16%     571.1MiB / 7.641GiB   7.30%     5.67GB / 105MB   188MB / 5.36GB   10

9a494fd3c1e0   llama_training_container   2.92%     569.8MiB / 7.641GiB   7.28%     5.91GB / 110MB   188MB / 5.62GB   10

9a494fd3c1e0   llama_training_container   1.77%     571.4MiB / 7.641GiB   7.30%     6.16GB / 115MB   188MB / 5.89GB   10

9a494fd3c1e0   llama_training_container   2.65%     569.9MiB / 7.641GiB   7.28%     6.41GB / 120MB   188MB / 6.14GB   10

9a494fd3c1e0   llama_training_container   2.66%     572.9MiB / 7.641GiB   7.32%     6.64GB / 124MB   188MB / 6.38GB   10

9a494fd3c1e0   llama_training_container   1.86%     573.2MiB / 7.641GiB   7.33%     6.84GB / 128MB   188MB / 6.6GB   10

9a494fd3c1e0   llama_training_container   1.28%     571.5MiB / 7.641GiB   7.30%     6.99GB / 131MB   188MB / 6.77GB   10

9a494fd3c1e0   llama_training_container   6.96%     572.6MiB / 7.641GiB   7.32%     7.09GB / 133MB   188MB / 6.79GB   10

9a494fd3c1e0   llama_training_container   6.56%     573MiB / 7.641GiB   7.32%     7.33GB / 138MB   188MB / 7.02GB   10

9a494fd3c1e0   llama_training_container   3.65%     573MiB / 7.641GiB   7.32%     7.58GB / 143MB   188MB / 7.27GB   10

