Prompt: scope of datascience
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
e1a7badb43a5   llama_training_container   21.79%    269.5MiB / 7.485GiB   3.52%     9.35MB / 115kB   31.9MB / 618kB   9

e1a7badb43a5   llama_training_container   0.84%     276.4MiB / 7.485GiB   3.61%     116MB / 1.62MB   34.6MB / 93.6MB   10

e1a7badb43a5   llama_training_container   3.39%     281.8MiB / 7.485GiB   3.68%     293MB / 4.43MB   34.6MB / 219MB   10

e1a7badb43a5   llama_training_container   1.19%     286.4MiB / 7.485GiB   3.74%     470MB / 7.06MB   34.6MB / 408MB   10

e1a7badb43a5   llama_training_container   1.46%     291.5MiB / 7.485GiB   3.80%     650MB / 9.49MB   34.6MB / 586MB   10

e1a7badb43a5   llama_training_container   3.99%     296.6MiB / 7.485GiB   3.87%     833MB / 11.6MB   34.6MB / 775MB   10

e1a7badb43a5   llama_training_container   1.11%     301.4MiB / 7.485GiB   3.93%     998MB / 13.5MB   34.6MB / 953MB   10

e1a7badb43a5   llama_training_container   0.88%     302.3MiB / 7.485GiB   3.94%     1.19GB / 16.2MB   34.6MB / 1.14GB   10

e1a7badb43a5   llama_training_container   3.28%     304.9MiB / 7.485GiB   3.98%     1.38GB / 18.9MB   34.6MB / 1.24GB   10

e1a7badb43a5   llama_training_container   3.75%     315.1MiB / 7.485GiB   4.11%     1.57GB / 21.6MB   34.6MB / 1.43GB   10

e1a7badb43a5   llama_training_container   2.57%     306.4MiB / 7.485GiB   4.00%     1.74GB / 24.1MB   34.6MB / 1.61GB   10

e1a7badb43a5   llama_training_container   3.15%     307MiB / 7.485GiB   4.01%     1.93GB / 26.6MB   34.6MB / 1.79GB   10

e1a7badb43a5   llama_training_container   1.38%     307.3MiB / 7.485GiB   4.01%     2.12GB / 29MB   34.6MB / 1.98GB   10

e1a7badb43a5   llama_training_container   8.15%     305.5MiB / 7.485GiB   3.99%     2.31GB / 31.9MB   34.6MB / 2.17GB   10

e1a7badb43a5   llama_training_container   3.59%     306.8MiB / 7.485GiB   4.00%     2.5GB / 34.7MB   34.6MB / 2.36GB   10

